,시도,시군구,계약종별,년도,월,전력 사용량
327,대구광역시,수성구,심 야,2022,1월,3603853.0
328,대구광역시,달서구,주택용,2022,1월,72131297.0
329,대구광역시,달서구,일반용,2022,1월,84375512.0
330,대구광역시,달서구,교육용,2022,1월,7545596.0
331,대구광역시,달서구,산업용,2022,1월,184937149.0
332,대구광역시,달서구,농사용,2022,1월,114281.0
333,대구광역시,달서구,가로등,2022,1월,2060598.0
334,대구광역시,달서구,심 야,2022,1월,3153057.0
335,대구광역시,달성군,주택용,2022,1월,33290245.0
336,대구광역시,달성군,일반용,2022,1월,43726146.0
337,대구광역시,달성군,교육용,2022,1월,6934810.0
338,대구광역시,달성군,산업용,2022,1월,263120087.0
339,대구광역시,달성군,농사용,2022,1월,5834726.0
340,대구광역시,달성군,가로등,2022,1월,2489916.0
341,대구광역시,달성군,심 야,2022,1월,4766750.0
342,인천광역시,중구,주택용,2022,1월,23132691.0
343,인천광역시,중구,일반용,2022,1월,110547974.0
344,인천광역시,중구,교육용,2022,1월,2909251.0
345,인천광역시,중구,산업용,2022,1월,87366235.0
346,인천광역시,중구,농사용,2022,1월,412187.0
347,인천광역시,중구,가로등,2022,1월,2810554.0
348,인천광역시,중구,심 야,2022,1월,3198031.0
349,인천광역시,동구,주택용,2022,1월,8093306.0
350,인천광역시,동구,일반용,2022,1월,12307587.0
351,인천광역시,동구,교육용,2022,1월,1073000.0
352,인천광역시,동구,산업용,2022,1월,320581410.0
353,인천광역시,동구,농사용,2022,1월,2976.0
354,인천광역시,동구,가로등,2022,1월,381808.0
355,인천광역시,동구,심 야,2022,1월,671894.0
356,인천광역시,미추홀구,주택용,2022,1월,55940663.0
357,인천광역시,미추홀구,일반용,2022,1월,65978424.0
358,인천광역시,미추홀구,교육용,2022,1월,7028086.0
359,인천광역시,미추홀구,산업용,2022,1월,39861696.0
360,인천광역시,미추홀구,농사용,2022,1월,58067.0
361,인천광역시,미추홀구,가로등,2022,1월,1145057.0
362,인천광역시,미추홀구,심 야,2022,1월,2172326.0
363,인천광역시,서구,주택용,2022,1월,80539239.0
364,인천광역시,서구,일반용,2022,1월,122128850.0
365,인천광역시,서구,교육용,2022,1월,6082799.0
366,인천광역시,서구,산업용,2022,1월,338700356.0
367,인천광역시,서구,농사용,2022,1월,954450.0
368,인천광역시,서구,가로등,2022,1월,3279393.0
369,인천광역시,서구,심 야,2022,1월,1882669.0
370,인천광역시,남동구,주택용,2022,1월,72162081.0
371,인천광역시,남동구,일반용,2022,1월,96734207.0
372,인천광역시,남동구,교육용,2022,1월,4822941.0
373,인천광역시,남동구,산업용,2022,1월,199127034.0
374,인천광역시,남동구,농사용,2022,1월,1461622.0
375,인천광역시,남동구,가로등,2022,1월,1995492.0
376,인천광역시,남동구,심 야,2022,1월,1901868.0
377,인천광역시,부평구,주택용,2022,1월,67243642.0
378,인천광역시,부평구,일반용,2022,1월,80155446.0
379,인천광역시,부평구,교육용,2022,1월,4902538.0
380,인천광역시,부평구,산업용,2022,1월,65475537.0
381,인천광역시,부평구,농사용,2022,1월,58617.0
382,인천광역시,부평구,가로등,2022,1월,1341582.0
383,인천광역시,부평구,심 야,2022,1월,1935757.0
384,인천광역시,계양구,주택용,2022,1월,38154021.0
385,인천광역시,계양구,일반용,2022,1월,45858697.0
386,인천광역시,계양구,교육용,2022,1월,3557212.0
387,인천광역시,계양구,산업용,2022,1월,35284770.0
388,인천광역시,계양구,농사용,2022,1월,1121252.0
389,인천광역시,계양구,가로등,2022,1월,1192884.0
390,인천광역시,계양구,심 야,2022,1월,1470318.0
391,인천광역시,연수구,주택용,2022,1월,61317866.0
392,인천광역시,연수구,일반용,2022,1월,79519553.0
393,인천광역시,연수구,교육용,2022,1월,10133650.0
394,인천광역시,연수구,산업용,2022,1월,108808016.0
395,인천광역시,연수구,농사용,2022,1월,98950.0
396,인천광역시,연수구,가로등,2022,1월,2306491.0
397,인천광역시,연수구,심 야,2022,1월,910933.0
398,인천광역시,강화군,주택용,2022,1월,9089766.0
399,인천광역시,강화군,일반용,2022,1월,22931732.0
400,인천광역시,강화군,교육용,2022,1월,1782278.0
401,인천광역시,강화군,산업용,2022,1월,11295382.0
402,인천광역시,강화군,농사용,2022,1월,7801164.0
403,인천광역시,강화군,가로등,2022,1월,1011733.0
404,인천광역시,강화군,심 야,2022,1월,14729261.0
405,인천광역시,옹진군,주택용,2022,1월,2689365.0
406,인천광역시,옹진군,일반용,2022,1월,12820233.0
407,인천광역시,옹진군,교육용,2022,1월,279766.0
408,인천광역시,옹진군,산업용,2022,1월,2937925.0
409,인천광역시,옹진군,농사용,2022,1월,1135413.0
410,인천광역시,옹진군,가로등,2022,1월,182975.0
411,인천광역시,옹진군,심 야,2022,1월,3628709.0
412,광주광역시,동구,주택용,2022,1월,15798183.0
413,광주광역시,동구,일반용,2022,1월,35175736.0
414,광주광역시,동구,교육용,2022,1월,3990595.0
415,광주광역시,동구,산업용,2022,1월,3340624.0
416,광주광역시,동구,농사용,2022,1월,163059.0
417,광주광역시,동구,가로등,2022,1월,849941.0
418,광주광역시,동구,심 야,2022,1월,1503993.0
419,광주광역시,서구,주택용,2022,1월,39825334.0
420,광주광역시,서구,일반용,2022,1월,73907051.0
421,광주광역시,서구,교육용,2022,1월,2791548.0
422,광주광역시,서구,산업용,2022,1월,26982772.0
423,광주광역시,서구,농사용,2022,1월,536877.0
424,광주광역시,서구,가로등,2022,1월,1229769.0
425,광주광역시,서구,심 야,2022,1월,1906425.0
426,광주광역시,북구,주택용,2022,1월,57965336.0
427,광주광역시,북구,일반용,2022,1월,71266862.0
428,광주광역시,북구,교육용,2022,1월,15312383.0
429,광주광역시,북구,산업용,2022,1월,61042366.0
430,광주광역시,북구,농사용,2022,1월,2654096.0
431,광주광역시,북구,가로등,2022,1월,1827598.0
432,광주광역시,북구,심 야,2022,1월,3667243.0
433,광주광역시,광산구,주택용,2022,1월,54307677.0
434,광주광역시,광산구,일반용,2022,1월,75111211.0
